x,y,HCP0.32f30000h0,HCP0.71f30000h0,HCP1.18f30000h0,elevation,VCP0.32f30000h0,VCP0.71f30000h0,VCP1.18f30000h0
730825.8861,5026038.012,11.38214414,17.59686411,21.53296359,4.93,9.02166479,13.1204208,17.10706532
730826.0546,5026039.125,11.58214414,18.36686411,22.54296359,4.93,8.92166479,13.2404208,17.65706532
730826.2301,5026040.222,12.50214414,19.17686411,23.68296359,4.94,9.84166479,14.6604208,19.38706532
730826.4174,5026041.282,13.05214414,20.68686411,24.78296359,4.94,10.87166479,16.1204208,21.28706532
730826.6871,5026042.38,14.88214414,22.39686411,25.53296359,4.95,12.45166479,19.1004208,24.99706532
730826.8266,5026043.46,16.65214414,23.45686411,27.09296359,4.93,14.40166479,20.6804208,25.80706532
730826.8949,5026044.594,15.86214414,22.88686411,26.08296359,4.95,12.98166479,19.0804208,24.15706532
730827.002,5026045.667,15.67214414,22.31686411,25.76296359,4.96,12.15166479,17.4904208,22.58706532
730827.1007,5026046.756,13.76214414,20.83686411,25.62296359,4.95,11.09166479,16.4004208,21.52706532
730827.2502,5026047.849,13.76214414,20.83686411,25.62296359,4.96,11.34166479,14.4204208,19.49706532
730827.5779,5026048.863,12.87214414,19.49686411,24.18296359,4.96,10.11166479,14.2304208,18.90706532
730827.9897,5026049.897,11.60214414,17.76686411,22.29296359,4.97,9.66166479,14.1004208,18.51706532
730828.3149,5026050.94,11.94214414,17.79686411,22.56296359,4.98,9.68166479,13.9004208,18.19706532
730828.5951,5026052.035,12.25214414,16.76686411,21.06296359,4.98,9.82166479,13.4104208,17.62706532
730828.7817,5026053.115,11.40214414,17.34686411,22.41296359,4.98,9.00166479,13.1604208,17.67706532
730828.9143,5026054.244,11.22214414,17.37686411,21.73296359,4.98,9.58166479,13.5704208,17.70706532
730829.0464,5026055.311,11.16214414,16.86686411,21.54296359,5,8.91166479,13.0104208,17.34706532
730829.1863,5026056.417,10.56214414,16.27686411,20.97296359,5.01,8.83166479,12.8404208,17.25706532
730829.3233,5026057.533,10.55214414,16.20686411,20.95296359,5,8.99166479,13.0404208,17.33706532
730829.4427,5026058.626,10.79214414,16.38686411,20.93296359,5.03,9.14166479,13.0604208,17.39706532
730829.6054,5026059.716,11.09214414,17.02686411,21.77296359,5.02,9.21166479,13.1904208,17.66706532
730829.7655,5026060.807,10.98214414,17.04686411,21.88296359,5.03,9.29166479,13.4904208,17.83706532
730829.9228,5026061.938,11.14214414,17.21686411,21.86296359,5.03,9.27166479,13.6504208,18.31706532
730830.0732,5026063.007,11.44214414,17.32686411,22.08296359,5.06,9.42166479,13.7804208,18.50706532
730830.2105,5026064.112,11.56214414,17.70686411,22.58296359,5.05,9.65166479,14.0604208,18.70706532
730830.392,5026065.225,11.61214414,17.94686411,22.90296359,5.05,9.53166479,14.1904208,19.10706532
730830.5792,5026066.324,11.82214414,17.94686411,22.52296359,5.05,9.72166479,14.4104208,19.34706532
730830.7348,5026067.396,11.90214414,18.16686411,23.11296359,5.07,9.73166479,14.4504208,19.30706532
730830.8778,5026068.525,12.16214414,18.79686411,23.85296359,5.07,9.98166479,14.8504208,19.77706532
730831.0127,5026069.624,12.09214414,19.01686411,23.88296359,5.07,9.89166479,14.8404208,20.07706532
730831.1577,5026070.734,12.55214414,19.21686411,23.78296359,5.08,10.42166479,15.3004208,20.45706532
730831.3109,5026071.832,12.66214414,19.84686411,25.11296359,5.06,10.48166479,15.7004208,21.03706532
730831.4778,5026072.917,13.21214414,20.48686411,25.21296359,5.08,10.95166479,16.3204208,21.79706532
730831.6254,5026074.025,13.98214414,20.90686411,25.29296359,5.06,11.66166479,17.1604208,22.34706532
730831.7582,5026075.146,14.17214414,21.58686411,25.67296359,5.07,11.55166479,17.2304208,22.30706532
730831.9052,5026076.238,14.00214414,20.12686411,23.38296359,5.06,11.83166479,16.7204208,20.87706532
730832.073,5026077.331,13.55214414,19.10686411,22.49296359,5.05,10.67166479,14.9604208,18.92706532
730832.2081,5026078.461,11.88214414,17.35686411,21.58296359,5.06,9.30166479,13.4504208,17.52706532
730832.3299,5026079.563,11.22214414,16.54686411,20.33296359,5.06,9.45166479,13.5204208,17.44706532
730832.4882,5026080.666,11.78214414,16.24686411,19.49296359,5.04,10.36166479,14.5604208,18.55706532
730832.637,5026081.779,12.38214414,16.68686411,20.14296359,5.04,10.78166479,15.1204208,18.97706532
730832.7856,5026082.861,12.33214414,16.91686411,20.84296359,5.06,10.94166479,15.5404208,19.95706532
730832.9479,5026083.963,15.30214414,21.39686411,24.52296359,5.07,12.65166479,17.1804208,22.69706532
730833.1259,5026085.101,19.40214414,25.51686411,27.07296359,5.03,15.28166479,22.0604208,27.34706532
730833.3162,5026086.185,20.37214414,27.10686411,29.21296359,5.03,16.52166479,23.6504208,28.77706532
730833.4985,5026087.276,19.82214414,27.07686411,31.02296359,5.03,16.63166479,22.9504208,28.47706532
